Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          
                           cm3/cm3    cm3/cm3    1/cm       no units   cm/day     cm/day     no units   
4763     0                  0.05875    0.40133    0.00994    1.49701   10.91567    3.38732   -0.23167 
4763     1                  0.04151    0.38631    0.03049    1.40383   40.01430   16.78848   -1.07964 
4763     2                  0.04151    0.38631    0.03049    1.40383   40.01430   16.78848   -1.07964 
4763     3                  0.04151    0.38631    0.03049    1.40383   40.01430   16.78848   -1.07964 
4763     4                  0.04151    0.38631    0.03049    1.40383   40.01430   16.78848   -1.07964 
4763     5                  0.04151    0.38631    0.03049    1.40383   40.01430   16.78848   -1.07964 
4763     6                  0.04309    0.38317    0.03905    1.77776  112.81037   30.70652   -0.88521 
