Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          
                           cm3/cm3    cm3/cm3    1/cm       no units   cm/day     cm/day     no units   
4673     0                  0.04309    0.38317    0.03905    1.77776  112.81037   30.70652   -0.88521 
4673     1                  0.04309    0.38317    0.03905    1.77776  112.81037   30.70652   -0.88521 
4673     2                  0.04151    0.38631    0.03049    1.40383   40.01430   16.78848   -1.07964 
4673     3                  0.04151    0.38631    0.03049    1.40383   40.01430   16.78848   -1.07964 
4673     4                  0.04151    0.38631    0.03049    1.40383   40.01430   16.78848   -1.07964 
4673     5                  0.06961    0.38557    0.02692    1.29049   12.52257    8.19478   -1.78543 
4673     6                  0.04151    0.38631    0.03049    1.40383   40.01430   16.78848   -1.07964 
